pid,source_chapter,source_chapter_title,source_title,source_line
P-RES-04,14,分辨率、粗粒化与微观实现的不确定区间,伴随三元组。,1294
P-RES-05,14,分辨率、粗粒化与微观实现的不确定区间,,1324
P-RES-06,14,分辨率、粗粒化与微观实现的不确定区间,对象相关的唯一性。,1337
P-COMP-01,15,组合、重叠与父对象的生成,,1364
P-COMP-02,15,组合、重叠与父对象的生成,,1386
P-COMP-03,15,组合、重叠与父对象的生成,,1402
P-COMP-04,15,组合、重叠与父对象的生成,,1422
P-COMP-05,15,组合、重叠与父对象的生成,,1451
P-COMP-06,15,组合、重叠与父对象的生成,物理载体到联盟的提升。,1465
P-COMP-07,15,组合、重叠与父对象的生成,,1491
P-STAT-01,16,有限数据认证：响应、载体与协议,有限字母 TV 同时界。,1512
P-STAT-02,16,有限数据认证：响应、载体与协议,,1536
P-STAT-03,16,有限数据认证：响应、载体与协议,固定容差族恢复。,1555
P-STAT-04,16,有限数据认证：响应、载体与协议,精确族恢复。,1565
P-STAT-05,16,有限数据认证：响应、载体与协议,,1596
P-STAT-06,16,有限数据认证：响应、载体与协议,嵌入同时误差。,1617
P-STAT-07,16,有限数据认证：响应、载体与协议,核运输协变。,1632
P-STAT-08,16,有限数据认证：响应、载体与协议,有限候选发现。,1653
P-STAT-09,16,有限数据认证：响应、载体与协议,平均误差运输。,1673
P-INV-01,17,逆对象、逆动力学与逆目的的可识别性,二元检验下界。,1696
P-INV-02,17,逆对象、逆动力学与逆目的的可识别性,,1717
P-INV-03,17,逆对象、逆动力学与逆目的的可识别性,,1723
P-INV-04,17,逆对象、逆动力学与逆目的的可识别性,,1747
P-INV-05,17,逆对象、逆动力学与逆目的的可识别性,,1757
P-TEL-01,18,可行未来、价值与目的桥接,折扣势函数等价。,1832
P-CTL-01,19,最优控制与 GOD,Bellman 存在与最优性。,1877
P-CTL-02,19,最优控制与 GOD,,1918
P-CTL-03,19,最优控制与 GOD,,1932
P-QUO-01,20,对象商如何保持决策与价值,,1973
P-QUO-02,20,对象商如何保持决策与价值,,2001
P-QUO-03,20,对象商如何保持决策与价值,,2024
P-QUO-04,20,对象商如何保持决策与价值,,2042
P-QUO-05,20,对象商如何保持决策与价值,占据加权的商策略后悔。,2063
P-GOA-01,21,GOA：长期结构的存在与稳定性,,2103
P-GOA-02,21,GOA：长期结构的存在与稳定性,,2129
P-GOA-03,21,GOA：长期结构的存在与稳定性,,2155
P-GOA-04,21,GOA：长期结构的存在与稳定性,,2186
P-KL-01,22,路径信息代价、可达作用与变分实现,,2214
P-KL-02,22,路径信息代价、可达作用与变分实现,,2227
P-KL-03,22,路径信息代价、可达作用与变分实现,，证明。,2260
P-KL-04,22,路径信息代价、可达作用与变分实现,,2271
P-KL-05,22,路径信息代价、可达作用与变分实现,可观测性修正的控制能量关系。,2302
P-DDH-01,23,Π/Φ、约束几何与双驱动的严格版本,,2348
P-DDH-02,23,Π/Φ、约束几何与双驱动的严格版本,,2370
P-DDH-03,23,Π/Φ、约束几何与双驱动的严格版本,矩约束下的变分最小性。,2380
P-DDH-04,23,Π/Φ、约束几何与双驱动的严格版本,,2402
P-DDH-05,23,Π/Φ、约束几何与双驱动的严格版本,有效维数阈值。,2426
P-ALI-01,24,多层级价值、可积性与协调机制,全局可积判据。,2462
P-ALI-02,24,多层级价值、可积性与协调机制,,2489
P-ALI-03,24,多层级价值、可积性与协调机制,,2507
P-EVO-01,25,繁殖、遗传与正算子演化,选择与传递的精确分解。,2551
P-EVO-02,25,繁殖、遗传与正算子演化,无关标签会膨胀遗传信息。,2568
P-EVO-03,25,繁殖、遗传与正算子演化,平均增长和繁殖价值。,2589
P-EVO-04,25,繁殖、遗传与正算子演化,繁殖价值鞅。,2609
P-BRG-01,26,个体性转变与内生目的桥,无突变的固定适合度集中。,2652
P-BRG-02,26,个体性转变与内生目的桥,行为等价的选择不可分辨性。,2680
P-REF-01,27,反身结构、信念学习与能动性,反身状态增广。,2710
P-REF-02,27,反身结构、信念学习与能动性,信念充分性。,2729
P-REF-03,27,反身结构、信念学习与能动性,免费信息的决策价值非负。,2739
P-REF-04,27,反身结构、信念学习与能动性,统一目标误差的后悔界。,2753
P-REF-05,27,反身结构、信念学习与能动性,可行选择扩展的单调性。,2779
P-API-01,28,完整接口、算法与组合契约,精确与近似过程接口的复合。,2878
P-ALG-01,28,完整接口、算法与组合契约,有限稳定分割的正确性与最粗性。,2911
P-CORE-01,31,统一装配：核心能共同推出什么,有限对象—实现—控制认证装配。,3198
